timeline,survival_prob
291.0,0.9176403124740243
292.0,0.916411055524963
293.0,0.9151784918995095
294.0,0.9145601280536316
295.0,0.9145601280536316
296.0,0.9133192052204515
297.0,0.9126962043983363
298.0,0.9126962043983363
299.0,0.9126962043983363
300.0,0.9120680583526392
301.0,0.9120680583526392
302.0,0.9120680583526392
303.0,0.9114351172989598
304.0,0.9108012959378337
305.0,0.909532770456026
306.0,0.9088971780238417
307.0,0.9069890663834838
308.0,0.9063525828281268
309.0,0.9063525828281268
310.0,0.9044391009502349
311.0,0.9044391009502349
312.0,0.9044391009502349
313.0,0.9025161262494189
314.0,0.9018742228879324
315.0,0.9012304868259141
316.0,0.8992909664095022
317.0,0.8992909664095022
318.0,0.8973444491661919
319.0,0.8960411166329078
320.0,0.8947368355315497
321.0,0.8921263706576427
322.0,0.8908182674748597
323.0,0.8895063112635563
324.0,0.8888464401127669
325.0,0.8875227670820701
326.0,0.8868589505023523
327.0,0.8861946366817509
328.0,0.8855268185682006
329.0,0.8841840940517967
330.0,0.8841840940517967
331.0,0.8841840940517967
332.0,0.8841840940517967
333.0,0.8821514869390332
334.0,0.8821514869390332
335.0,0.8821514869390332
336.0,0.8807890908202086
337.0,0.8794235263383171
338.0,0.8794235263383171
339.0,0.8787375485486615
341.0,0.8787375485486615
342.0,0.8780494220423586
343.0,0.8766710085069706
344.0,0.8739120124141078
345.0,0.8739120124141078
346.0,0.8711398886633887
347.0,0.8711398886633887
348.0,0.8683544693551122
349.0,0.8676558736436436
350.0,0.8669550207570166
351.0,0.8655487676819853
352.0,0.8627316846301318
353.0,0.8620262621570086
354.0,0.8598995526286606
355.0,0.8577728431003122
356.0,0.8570633535692121
357.0,0.8556420213079029
358.0,0.8527946268942326
359.0,0.8527946268942326
360.0,0.8513613586137387
361.0,0.8506447244734914
362.0,0.8492090371748025
363.0,0.8463327999616784
364.0,0.8448922334936588
365.0,0.8448922334936588
366.0,0.8441694856463593
367.0,0.8434454980943469
368.0,0.8427208885599019
369.0,0.8427208885599019
370.0,0.8419950307747517
371.0,0.8419950307747517
372.0,0.8412666613709668
373.0,0.8405357607094804
374.0,0.8390637190970296
375.0,0.838325106668247
376.0,0.8368465791432593
377.0,0.8361053509952145
378.0,0.8346162942703792
379.0,0.8323767156632137
380.0,0.8301331126560351
381.0,0.8286373773179163
382.0,0.8278888340683067
383.0,0.8256391361496428
384.0,0.8256391361496428
385.0,0.8248871879382131
386.0,0.8248871879382131
387.0,0.8233764055427217
389.0,0.8233764055427217
390.0,0.8188189715637024
391.0,0.8180572794971319
392.0,0.8172920247922706
393.0,0.8149919534279396
394.0,0.8134556820736931
396.0,0.8134556820736931
397.0,0.8111447284314383
398.0,0.809601160917772
399.0,0.807276947058678
400.0,0.8065014648809076
401.0,0.8057222364124238
402.0,0.8049399818139648
403.0,0.8049399818139648
404.0,0.8041539076129742
405.0,0.8033662935996413
406.0,0.8025779066579338
407.0,0.8009949127592001
408.0,0.8002002749489232
409.0,0.7994000746739749
410.0,0.7994000746739749
411.0,0.7977964636916801
412.0,0.7961880030793989
413.0,0.7945779161166497
414.0,0.7937704182344174
415.0,0.7921504786053681
416.0,0.7921504786053681
417.0,0.7913338286274244
418.0,0.7905154896112635
419.0,0.7896963025753968
420.0,0.7864093252493806
421.0,0.7855867213526766
423.0,0.7847623911099141
424.0,0.7839363254350616
425.0,0.7822824513307683
426.0,0.7822824513307683
427.0,0.7814528835138745
428.0,0.780620665320569
429.0,0.7781213462213572
430.0,0.7772864520730512
432.0,0.7764515579247447
433.0,0.7764515579247447
436.0,0.7747745567197235
437.0,0.7747745567197235
438.0,0.773093917768054
439.0,0.7714077805428237
440.0,0.7697197985285068
441.0,0.7680318165141902
442.0,0.767185966496002
443.0,0.7663401164778152
444.0,0.7654933318187238
445.0,0.7654933318187238
446.0,0.7637978870084938
447.0,0.7621024421982641
448.0,0.7604032171320474
449.0,0.7586963636704719
450.0,0.7578419758735454
451.0,0.7561274012674969
452.0,0.7552701139644727
453.0,0.7544128266614478
454.0,0.7535545640600131
455.0,0.7509797762557073
456.0,0.7483990897393651
457.0,0.7475388609005842
459.0,0.7466766476815526
460.0,0.7458134376842329
461.0,0.7432238076922738
462.0,0.7388977086952297
463.0,0.7388977086952297
464.0,0.7380304578634284
465.0,0.7336891022289374
466.0,0.7336891022289374
467.0,0.7328167013939444
468.0,0.7310656459545319
469.0,0.7293082766132948
470.0,0.7275466624185765
471.0,0.7248946089711209
472.0,0.7231244145658189
473.0,0.7231244145658189
474.0,0.722234962641384
475.0,0.7195600183353053
476.0,0.7186672639701254
477.0,0.7168773081445463
478.0,0.7150761088778518
479.0,0.7150761088778518
480.0,0.712364062952904
481.0,0.7087480017196403
482.0,0.7078405138813308
483.0,0.7060232083257947
484.0,0.7032866842625161
485.0,0.7014528206790415
486.0,0.7005346887148017
487.0,0.6986960149911408
489.0,0.6977742524383818
490.0,0.6931532308990546
491.0,0.6912874079356652
492.0,0.6903519716597037
493.0,0.6866102265558569
494.0,0.6838000892029681
495.0,0.6828608033661508
496.0,0.6809822316925163
497.0,0.6800403475546287
498.0,0.6790958470719141
499.0,0.6772068461064842
