timeline,survival_prob,segment
308.0,0.9122785016880816,High Review Score
310.0,0.9122785016880816,High Review Score
311.0,0.9122785016880816,High Review Score
312.0,0.9122785016880816,High Review Score
313.0,0.9093545321313887,High Review Score
314.0,0.9078925473530426,High Review Score
315.0,0.9064305625746966,High Review Score
316.0,0.9049590843886987,High Review Score
317.0,0.9049590843886987,High Review Score
318.0,0.9020065262014599,High Review Score
319.0,0.9005229628359969,High Review Score
320.0,0.8975509398563405,High Review Score
321.0,0.8945739881486907,High Review Score
322.0,0.8915920748548614,High Review Score
323.0,0.8915920748548614,High Review Score
324.0,0.8915920748548614,High Review Score
325.0,0.8900885469040096,High Review Score
327.0,0.8885799222482403,High Review Score
328.0,0.8885799222482403,High Review Score
329.0,0.8855263829965278,High Review Score
330.0,0.8855263829965278,High Review Score
332.0,0.8855263829965278,High Review Score
333.0,0.8809142664184209,High Review Score
335.0,0.8809142664184209,High Review Score
336.0,0.8793633610197963,High Review Score
337.0,0.8793633610197963,High Review Score
338.0,0.8793633610197963,High Review Score
341.0,0.8793633610197963,High Review Score
342.0,0.8793633610197963,High Review Score
343.0,0.8762283757755193,High Review Score
344.0,0.873087772278116,High Review Score
345.0,0.873087772278116,High Review Score
346.0,0.8715060915312359,High Review Score
348.0,0.8683427300374742,High Review Score
349.0,0.8683427300374742,High Review Score
350.0,0.8683427300374742,High Review Score
351.0,0.8667494406245612,High Review Score
352.0,0.8651561512116486,High Review Score
353.0,0.8635599221503719,High Review Score
354.0,0.8603436840790479,High Review Score
355.0,0.8587355650433866,High Review Score
356.0,0.8571274460077243,High Review Score
357.0,0.8571274460077243,High Review Score
358.0,0.85389909404536,High Review Score
359.0,0.85389909404536,High Review Score
361.0,0.85389909404536,High Review Score
362.0,0.8522695156216097,High Review Score
363.0,0.8506399371978591,High Review Score
364.0,0.8490103587741081,High Review Score
365.0,0.8490103587741081,High Review Score
366.0,0.8473745006647166,High Review Score
367.0,0.8457386425553256,High Review Score
368.0,0.8441027844459342,High Review Score
369.0,0.8441027844459342,High Review Score
370.0,0.8424637499130296,High Review Score
371.0,0.8424637499130296,High Review Score
372.0,0.8408183129014808,High Review Score
373.0,0.8408183129014808,High Review Score
374.0,0.8391500225981048,High Review Score
375.0,0.8374717225529089,High Review Score
